bank,ifsc,branch,centre,district,state,address,contact,imps,rtgs,city,neft,micr
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065075,ULWE,PANVEL,PANVEL,MAHARASHTRA,"SHOP NO. 1,2,3 PRATHMESH PRIDE, PLOT NO. 06, SECTOR 19, ULWE, TAL  PANVEL, DIST RAIGAD  410206",,true,true,RAIGAD,true,400065075
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065076,KURLA (W),MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. 1 AND 2, SANGHAVI PALACE, BELGRAMI ROAD, KURLA W, MUMBAI - 400070",26503002,true,true,GREATER BOMBAY,true,400065076
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065077,PEN,PEN,PEN,MAHARASHTRA,"SHOP NO.4 AND 6, REDWOOD CITY PLAZA, PLOT NO. C 13, SURVEY NO 242B, ICE FACTORY, PEN 402107.",24140961,true,true,RAIGAD,true,402065051
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065102,NANA PETH,PUNE,PUNE,MAHARASHTRA,"355, NANA PETH, PUNE-411002",26356923,true,true,PUNE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065103,LAXMI ROAD,PUNE,PUNE,MAHARASHTRA,"867, BUDHWAR PETH, LAXMI ROAD, PUNE-411002",24470805,true,true,PUNE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065104,YERWADA,PUNE,PUNE,MAHARASHTRA,"OM MAHAVIR CHS, SHOP NO. D1-2-3, SURVEY NO. 1-A, PUNE NAGAR RD., YERWADA, PUNE-411006",26613493,true,true,PUNE,true,411065004
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065105,PIMPRI,PUNE,PUNE,MAHARASHTRA,"SUNSHINE MARKS, CTS NO.4840, MUMBAI-PUNE RD, OPP B AMBEDKAR STATUE, PIMPRI, PUNE-411018",27426288,true,true,PUNE,true,411065006
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065106,PAUD PHATA,PUNE,PUNE,MAHARASHTRA,"MANGALAM CHAMBERS, ERANDWANA, PAUD ROAD, PUNE-411038",25446729,true,true,PUNE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065107,BANER ROAD,PUNE,PUNE,MAHARASHTRA,"TEJAS ETERNITY, S. NO. 134, H. NO.5,6/1, BANER BALEWADI RD, BANER, PUNE 411045",27290321,true,true,PUNE,true,411065008
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065108,DHANKAWADI,PUNE,PUNE,MAHARASHTRA,"SHIVSMARAK SAMITI, PUNE-SATARA ROAD,DHANKWADI, PUNE-411037",24377083,true,true,PUNE,true,
